"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"601","ENSG00000206047.2","DEFA1",2.521562585227e-20,-2.59973074040588
"602","ENSG00000211633.3","IGKV1D-42",2.79090053861086e-20,-2.05012320102633
"603","ENSG00000156885.5","COX6A2",2.82471079931481e-20,-2.15973076959386
"604","ENSG00000282122.1","IGHV7-4-1",3.17837157011703e-20,-3.23247348016076
"605","ENSG00000259337.4","IGHV1OR15-2",3.44357629156009e-20,-2.04983907390098
"606","ENSG00000272068.1","AL365181.2",3.4874186367805e-20,2.06364435183864
"607","ENSG00000119508.17","NR4A3",6.83156722630448e-20,-2.07178820957537
"608","ENSG00000261704.2","IGHV1OR16-1",7.54066934795006e-20,-2.22755861976807
"609","ENSG00000254174.1","IGHV1-12",9.39879370456094e-20,-2.05252093213406
"610","ENSG00000253998.3","IGKV2-29",1.28180866265026e-19,-3.34778372348899
"611","ENSG00000155495.8","MAGEC1",1.32389867189693e-19,2.83857259047248
"612","ENSG00000272620.1","AFAP1-AS1",1.33254844395568e-19,2.13982746100572
"613","ENSG00000138079.13","SLC3A1",1.70363174319327e-19,-2.03154300250912
"614","ENSG00000237592.2","IGKV1OR10-1",2.83364137126901e-19,-2.39466822972555
"615","ENSG00000110244.6","APOA4",3.22419282446086e-19,-2.81185159321952
"616","ENSG00000164825.3","DEFB1",3.35709448638714e-19,-2.13069096125608
"617","ENSG00000163739.4","CXCL1",3.45299585436786e-19,-2.06058506646764
