"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"157",2.44595371144879,"EXO1",6.2482275708192e-33,2.93595503515444,"EXO1",4.94235590238438e-26,-0.547507709268634
"158",-4.29100902975694,"SLC25A47",6.39639463516666e-33,-3.37031613040031,"SLC25A47",5.79058471614443e-13,-0.801244235921387
"159",-2.56928088862468,"STEAP4",7.16989379531216e-33,-2.29719589684236,"STEAP4",2.61802217610196e-14,-0.182748265897028
"161",2.22509391975676,"CDCA5",1.03105521159327e-32,2.92680916793738,"CDCA5",2.03265885387927e-29,-0.758964999143054
"162",2.15027146031607,"CDK1",1.19581900733304e-32,2.68761678970481,"CDK1",5.58507796410723e-27,-0.587883301250819
"163",-4.40398742350234,"CYP1A2",1.23334373344228e-32,-5.06293153545268,"CYP1A2",4.87006214897283e-16,0.825887853550343
"165",2.29193001819841,"FOXM1",1.69824155906276e-32,2.88225938676584,"FOXM1",2.31643014080497e-27,-0.646329045040025
"167",2.43051042087395,"UBE2C",2.19371584232186e-32,3.10533173932982,"UBE2C",2.62079176429305e-28,-0.737080443347639
"168",2.35389328327422,"NCAPG",2.23364925440632e-32,2.95151191692454,"NCAPG",2.47929251764643e-27,-0.655561547980244
"169",2.66475543032432,"CDC20",2.41390677143281e-32,3.49899246592365,"CDC20",2.7809298416483e-29,-0.907542347902698
"173",2.34954865333275,"CCNB2",3.3634130221601e-32,2.91106284106608,"CCNB2",1.94286812847563e-26,-0.618322094066838
"174",-3.491531713668,"EPS8L1",3.48588197372978e-32,-3.1941272017588,"EPS8L1",2.16167221507861e-15,-0.182899739988011
"176",2.22988453477915,"BIRC5",3.57085942372259e-32,2.68128715307808,"BIRC5",3.72005067689988e-25,-0.501762979473168
"178",2.14000771136185,"KIFC1",5.41670211450497e-32,2.59493006675992,"KIFC1",4.89248137514561e-25,-0.5028595219396
"179",-2.87917375903112,"INMT",5.5875571339515e-32,-2.64476576081504,"INMT",2.80032024906028e-16,-0.135318402418448
"182",-3.36839019806245,"HAO2",7.76651398359977e-32,-3.26009438203994,"HAO2",5.67986590945275e-16,0.00806000627575183
"184",-3.37191915973321,"APOF",9.68541273635436e-32,-3.16356216570935,"APOF",7.19312005369236e-16,-0.0947098822491776
"186",-4.24592568913453,"C7",1.040315432652e-31,-3.62248913013739,"C7",5.88128392444299e-14,-0.496911877998897
"188",2.05800885366696,"AURKA",1.65384528135384e-31,2.20746733335014,"AURKA",2.92957271701094e-20,-0.186523375563402
"196",-2.59135680543011,"ANGPTL1",2.84096458935054e-31,-2.65463573525442,"ANGPTL1",3.13334260632373e-16,0.162645478795169
"197",4.98395049759555,"NMRAL2P",4.05719540305063e-31,5.04655961744259,"NMRAL2P",1.04767704028663e-18,-0.179339431478198
"200",2.62884142581817,"TOP2A",4.05719540305063e-31,3.12015760260892,"TOP2A",2.65236566139076e-23,-0.553991317945398
"201",-3.36471589893128,"TFPI2",6.34363017741467e-31,-2.77274422634015,"TFPI2",3.35445965630514e-11,-0.489290979131632
"204",-2.76796323944904,"COX6B1P4",1.01229184817513e-30,-2.67958861550641,"COX6B1P4",2.79239780737139e-15,0.0116921071218495
